full_text,sentimen,detokenize_text
Punya menteri ga becus mau enak sendiri. Rumah lo tuh di IKN brp ribu meter untuk satu menteri. Warga nya boro2 dihhh. Yg kita lakuin disini cm pasrah lakuin tindakan2 solutif ken emg preventif nya gaada coy. Buka mata looo dan setuju bgt sama twitnya mba nana https://t.co/d5bsT8piWa,Negatif,menteri becus enak rumah ikn ribu meter menteri warga nya boro dihhh lakuin pasrah lakuin tindak solutif ken preventif nya coy buka mata looo tuju twitnya mba nana
@M3n4ngtrus Tidak marah seharusnya sesuai cocot tinggal sana di IKN. Ngapain masih di Pulau Jawa?,Negatif,marah sesuai cocot tinggal ikn ngapain pulau jawa
@M3n4ngtrus halooo 11.000T dalam kantong Halooo mobil indigo esemka Halooo Jutaan investor ikn dari luar negeri Halooo stop impor pangan... Dari gorong gorong berakhir juga ke gorong gorong ga mau ikut,Negatif,halooo triliun kantong halooo mobil indigo esemka halooo juta investor ikn negeri halooo stop impor pangan gorong gorong gorong gorong
@tvOneNews Kalo itu sebab musabab msf TDK naik kelas kepsek besok jadikan guru SD dipelosok jauh..atau dieksport ke IKN jdi guru baru disana setuju ??,Positif,musabab msf kelas kepsek besok guru pelosok dieksport ikn jdi guru tuju
@StefanAntonio__ Kalo sampe ikn mangkrak kita buru pencetus ide nya layaknya berburu binatang liar di hutan.... Tangkap dan kuliti...!!!!!!,Negatif,ikn mangkrak buru cetus ide nya layak buru binatang liar hutan tangkap kulit
@toe_giman Kenapa gak di wilayah IKN ?,Negatif,wilayah ikn
@ekokuntadhi1 Curiga gw sengaja di retas tar duit nya buat ke ikn,Negatif,curiga sengaja retas tar duit nya ikn
Boyong Jajaran BUMN Tinjau IKN Erick Thohir Pastikan Kesiapan Fasilitas Upacara 17 Agustus di Nusantara https://t.co/36PW9QvpS7 #TempoBisnis,Positif,boyong jajar bumn tinjau ikn erick thohir kesiap fasilitas upacara agustus nusantara tempobisnis
@5teV3n_Pe9eL Lagian rakyat ngapain ke IKN,Negatif,rakyat ngapain ikn
@seekracle Sama kaya food estate sebenarnya bukan ntuh food tapi kemane tu kayu2 hutannye. Sama kaya IKN bukan menjadi 'kota' jamaah tuh 'guyuramnye' haha,Negatif,kaya food estate ntuh food kemane kayu hutannye kaya ikn kota jamaah guyuramnye haha
Jokowi akan Berkantor di IKN Juli Pembangunan Istana Presiden Sudah 85 Persen https://t.co/qEPuW2aukD #TempoBisnis,Positif,jokowi kantor ikn juli bangun istana presiden persen tempobisnis
@HarfikaSanjaya @kpertiwi29 @madHink @owlnight11110 @BuruhSiluman Termasuk rencana ikn gan? Hehehe,Negatif,masuk rencana ikn gan hehehe
@DS_yantie terus ngapain cape2 bangun IKN kalau dia pilih rumah hadiah dari rakyat minta di pulau jawa..lalu penduduk IKN mau naturalisasi dari Singapura.ini kan namanya pukimak,Negatif,ngapain cape bangun ikn pilih rumah hadiah rakyat pulau jawa duduk ikn naturalisasi singapura nama pukimak
@almagentia369 Inget IKN jd inget Vegas yg di besarkan oleh Mafia,Negatif,inget ikn inget vegas mafia
Gelar Puncak Perayaan HUT ke-46 di IKN AMPI Undang Ketua Umum Golkar Airlangga Hartarto https://t.co/ruWWfLBmho,Positif,gelar puncak raya hut ikn ampi undang ketua golkar airlangga hartarto
@Indonesiaguyub @M3n4ngtrus Penentuan lokasi rumah presiden dah ada sblm ikn dibangun,Negatif,lokasi rumah presiden ikn bangun
@StefanAntonio__ jangankan prabowo jokowi jg nggak mau tinggal di ikn setelah pensiun jokowi lebih memilih tinggal di solo dng tanah + rumah pemberian negara yg super luas,Negatif,prabowo jokowi tinggal ikn pensiun jokowi pilih tinggal solo dng tanah rumah negara super luas
@tempodotco Knp ga di ikn ya?,Negatif,ikn
Menteri BUMN Apresiasi Gerak Cepat PLN Hadirkan Energi Bersih di IKN https://t.co/HuSoYrWwz9,Positif,menteri bumn apresiasi gerak cepat pln hadir energi bersih ikn
...apa yg mau diaudit? lah ketua projo aja sdh bilang kalau tidak ada anggaran..terus kemana anggarannya? ya ke ikn lah...,Negatif,audit ketua projo bilang anggar anggar ikn
@T0M5helby @fsaidhamzah Jgn gt bang. Ntar lu di jual buat bayar IKN.,Negatif,bang ntar jual bayar ikn
IKN jalan terus... tenggelamkan PKS yg mau menghalangi IKN... Mereka ingin indonesia rusuh sepeeti di Afrika dan Suriah https://t.co/AKhyNhVZ7b,Negatif,ikn jalan tenggelam pks halang ikn indonesia rusuh sepeeti afrika suriah
@M3n4ngtrus Marah? Kagak lah. Dia punya hak dapat rumah sebagai mantan Presiden. Yg di soal netizen itu kenapa rumahnya tidak di lokasi IKN? Kan dianggap dia sendiri tidak percaya dgn prospek IKN. Gitu aja sih.,Negatif,marah kagak hak rumah mantan presiden netizen rumah lokasi ikn anggap percaya prospek ikn
PDN dan IKN N nya Ngawur,Negatif,pdn ikn nya ngawur
Hoax!!! Peristiwa Banjir Ternyata Berjarak 20 Kilometer dari IKN https://t.co/R2a0YhDzUu,Positif,hoax peristiwa banjir nyata jarak kilometer ikn
Indonesia Harus Siap Hadapi Bonus Demografi di IKN https://t.co/ypqDz87oLD,Positif,indonesia hadap bonus demografi ikn
Otorita IKN Siapkan Pedoman Reklamasi Lahan Tambang di Nusantara https://t.co/PSLeS7tAyq,Positif,otorita ikn pedoman reklamasi lahan tambang nusantara
BPN Kawal Proses Ganti Untung 2.086 Hektare Lahan IKN https://t.co/yRmKb7Dsjk,Positif,bpn kawal proses ganti untung hektare lahan ikn
@5teV3n_Pe9eL Coba uang sebanyak itu buat bangun JALAN RAYA. Bukan jalan tol yah. Jalan raya tuh semua orang bisa pake ga usah muter2 dulu kalo mau masuk. Bisa untuk semua rakyat &amp,Negatif,coba uang bangun jalan raya jalan tol yah jalan raya orang pake muter masuk rakyat
Wujudkan Forest City 126 Ribu Hektare Lahan di IKN Bakal Direforestasi https://t.co/Wodav8le8K,Positif,wujud forest city ribu hektare lahan ikn direforestasi
@Jumianto_RK Jagoannya kalah ya 16% kalah mah kalah aja. Tar kalo pak Jokowi minta di IKN palingan loe bikin isua udah gak menjabat ngebet jabat tinggal di IKN kan?? Udah kebaca kok keman arah nya . Tolol,Negatif,jago kalah kalah mah kalah tar jokowi ikn loe bikin isua jabat ngebet jabat tinggal ikn baca keman arah nya tolol
Telkom Siap Bantu Startup Ikut Berkontribusi Kembangkan IKN https://t.co/qyuz0gyWOg,Positif,telkom bantu startup kontribusi kembang ikn
@DS_yantie Kok ndak minta di IKN ya kan dia bilang di sana udara bersih semilir tenang dll. Kan bagus tuh ada rumah mantan presiden di IKN.,Positif,ikn bilang udara bersih milir tenang bagus rumah mantan presiden ikn
Radio Republik Indonesia Segera Pindahkan ASN ke IKN https://t.co/c6zV5a3RwY,Positif,radio republik indonesia pindah asn ikn
@5teV3n_Pe9eL Rakyat jelantah Kalau ke IKN mbrangkang aja,Negatif,rakyat jelantah ikn mbrangkang
@StefanAntonio__ @YanAnthono Mungkin Wapresnya di IKN istananya.,Positif,wapresnya ikn istana
Polri dan BNPT Pastikan Keamanan Upacara Kemerdekaan di IKN https://t.co/4q0NtbUbXv,Positif,polri bnpt aman upacara merdeka ikn
Istana Presiden hingga Hunian ASN di IKN Siap Ditempati Juli 2024 https://t.co/fO7yfvKPl0,Positif,istana presiden huni asn ikn juli
Pemerintah Komitmen Penuhi Hak Masyarakat Terdampak IKN https://t.co/w7hNt5FkE3,Positif,perintah komitmen penuh hak masyarakat dampak ikn
Ikn mantap https://t.co/doHonc2kYY,Positif,ikn mantap
IKN nih https://t.co/aStPskS1fx,Positif,ikn
@5teV3n_Pe9eL Sukanya lah dinasti Dajjal terserah. Doaku cuman: nanti di kubur jangan menyesal. Oya semoga IKN mangkrak kalo pun jadi semoga cepat rusak dan hancur.,Negatif,suka dinasti dajjal serah doa kubur sesal oya moga ikn mangkrak moga cepat rusak hancur
@ChairulMuhamad4 @M3n4ngtrus 12 rb itu gede kalau di ikn ntar dibilang wah presiden sengaja ambil duluan tanah gede biar ntar dah besar JD T kan. Sama aja sih semua goreng sana sini,Negatif,gede ikn ntar bilang presiden sengaja ambil duluan tanah gede biar ntar triliun goreng
@JamalBoegis Nolak ikn Nolak tol Nolak alutsista Kemunduran,Positif,nolak ikn nolak tol nolak alutsista mundur
@vinofebryanto99 @RagilSemar @pandji Pendukung Anies apaan si Pandji cuman ga suka sama Dinasti yang dibikin Jokowi bukan ke Prabowonya. Pandji lho pro sama IKN dan makan siang gratis.,Positif,dukung anies pandji suka dinasti bikin jokowi prabowonya pandji lho pro ikn makan siang gratis
@diedsputnik @lo__oml widih warga ikn,Positif,widih warga ikn
BANG. TAKUT BANGET LANGSUNG DIMUTASI KE IKN.,Negatif,bang takut langsung mutasi ikn
@karimkanaeru @almagentia369 @nekromagik Hampir kelupaan sohibnya yg skrg ada di konsorsium IKN. Merdekaaaaaa !!! https://t.co/NMJRSqKHdh,Positif,lupa sohib konsorsium ikn merdekaaaaaa
Menteri BUMN Apresiasi Gerak Cepat PLN Hadirkan Energi Bersih di IKN https://t.co/EdXsqmHBgy,Positif,menteri bumn apresiasi gerak cepat pln hadir energi bersih ikn
@liputan6dotcom Kenapa enggak jadi lurah di IKN?,Negatif,lurah ikn
@StefanAntonio__ @roshanfaro Dasar otak kerdil macam @DokterTifa tar kalo minta rumah di IKN loe goreng isu udah gak menjabat ngebet berkuasa GT???? Ato yg jadi wakil sebenarnya pak Jokowi ato mas Gibran GT??? Dasar pasukan 16%,Negatif,dasar otak kerdil tar rumah ikn loe goreng isu jabat ngebet kuasa ato wakil jokowi ato mas gibran dasar pasu
Perkembangan tol IKN SiPEPEK Nonton Innalillahi Wkwk Tolol Clash of Champions Bandung Nyetrika https://t.co/6jn4qU7iNY,Negatif,kembang tol ikn sipepek nonton innalillahi wkwk tolol clash champions bandung nyetrika
@hansssolo yang Urgent IKN yang lainnya mah cuma sampingan yang kerja cuma rakyat Para Babu jadi Bos sok Mikir,Negatif,urgent ikn mah samping kerja rakyat babu bos sok mikir
Majelis rakyat papua dukung pembangunan IKN SiPEPEK Nonton Innalillahi Wkwk Tolol Clash of Champions Bandung Nyetrika https://t.co/xqFsl5d6P1,Positif,majelis rakyat papua dukung bangun ikn sipepek nonton innalillahi wkwk tolol clash champions bandung nyetrika
IKN akan dilengkapi transportasi massal berbasis listrik Innalillahi SiPEPEK Clash of Champions Tolol Malmingan Jogja Jawa Nonton https://t.co/jUJdzwY6NZ,Positif,ikn lengkap transportasi massal bas listrik innalillahi sipepek clash champions tolol malmingan jogja jawa nonton
@abwnewsco Udah ambil aja jk perlu makan tuh si Wan Abas....2024 nnti IKN kelar dan kt gk butuh jakarta,Positif,ambil makan wan abas nnti ikn kelar butuh jakarta
Persiapan HUT RI di IKN Innalillahi SiPEPEK Clash of Champions Tolol Malmingan Jogja Jawa Nonton https://t.co/fBKISAOaBo,Positif,hut ikn innalillahi sipepek clash champions tolol malmingan jogja jawa nonton
@StefanAntonio__ Gw percaya kalo nanti 17 agustus dirayakan di jakarta bukan di IKN,Negatif,percaya agustus raya jakarta ikn
Investasi di IKN Innalillahi SiPEPEK Clash of Champions Tolol Malmingan Jogja Jawa Nonton https://t.co/cVtdSAgYWC,Positif,investasi ikn innalillahi sipepek clash champions tolol malmingan jogja jawa nonton
Terdampak Banjir di Sepaku IKN Ratusan Keluarga Terima Bantuan dari Dinsos Kaltim - https://t.co/JOX8czS7br https://t.co/PiU46AJZnl https://t.co/K0OMrtH16e,Negatif,dampak banjir paku ikn ratus keluarga terima bantu dinsos kaltim
@DS_yantie Pak pindah ke IKN pak sekalian bawa anak cucu dan Kolega agar IKN lekas ramai,Positif,pindah ikn bawa anak cucu kolega ikn lekas ramai
@5teV3n_Pe9eL Jadi yg bela²in IKN kalau mau kesana turun di bandara mana?,Positif,bela ikn kesana turun bandara
@geloraco Anggota mereka sudah pindah ke IKN kali. Dan satu hal lagi mereka Dishub DKI sedang kejadiannya di DKJ. Tanyain ke dishub dkj dong.,Positif,anggota pindah ikn kali dishub dki dkj tanyain dishub dkj
INVESTOR MAKIN NGERI AJA LIHAT IKN BANJIR BANDANG LEBIH BURUK DR JAKARTA https://t.co/ilX1FHuwCN,Negatif,investor ngeri lihat ikn banjir bandang buruk jakarta
@dean_deanlova @xMustofaNahrax @jokowi Namanya juga IKN bukan IKI(IBU KOTA INDONESIA),Positif,nama ikn iki kota indonesia
DemiAllah isi kepala anda ini apa pak? Yg maksa pembangunan IKN kan bapak juga! @jokowi,Negatif,allah isi kepala maksa bangun ikn
Emang kemaren tekor ya ngongkosin seleb ke IKN?,Negatif,kemaren tekor ngongkosin seleb ikn
https://t.co/o80yjsd60g IKN SORRY,Negatif,ikn sorry
@DokterTifa Wes opo menneh kiiii....gedung ikn..mau seperti candi rmh sakit kek panti jompo kek studio foto kek atau yg lainx terserah mrk kan yg buat bangun gedungx duit kita jg...ia brrti milik kt juga dong..entr ramai kt minta warisan pd mereka krn dui,Negatif,wes opo menneh kiiii gedung ikn candi rmh sakit kek panti jompo kek studio foto kek lainx serah bangun gedungx duit arti milik entr ramai waris dui
@inboundandhot Yang penting buat si Jokowi namanya akan dicatat sebagai Presiden RI Pertama yang berkantor di IKN. Yang lain mah tak penting... Jangan Kaget ya....,Negatif,jokowi nama catat presiden kantor ikn mah kaget
Kemarin sempet dengerin bentar di elshinta soal influenser di IKN. Agak ngakak pas denger alasan milih mereka ini. Yg mau diinfluence apa? And are they even the right people to do it?,Negatif,kemarin sempet dengerin bentar elshinta influenser ikn ngakak pas denger alas milih diinfluence and are they even the right people
@KangManto123 ilangin polisi di ikn,Negatif,ilangin polisi ikn
@zy_zy_lestary Apa di IKN cuma bangunan itu aja yang ada???? Banunan yang lainya mana?????? Belum jadi iya!!!!!,Negatif,ikn bangun banunan lai iya
Momen Menteri PUPR Basuki Minum Air Keran di IKN ~N #Momen #MenteriPUPR #IKN #AirKeran https://t.co/f2349m5HZM,Positif,momen menteri pupr basuki minum air keran ikn momen menteripupr ikn airkeran
@dika_maxelyou @BBerizik @Rocky_Antonie @adri_7i @zy_zy_lestary @mas_veel @IrwanResma48922 @Julidonkk Ini jujur ga penting buat rakyat ga ada dampaknya sama sekali buat rakyat.. Ikn ini hanya perang gengsi.. Jdi hanya nuruti ego 1 orang..,Negatif,jujur rakyat dampak rakyat ikn perang gengsi jdi nuruti ego orang
@kozirama Tandai eta seleb2 endorser ikn.,Negatif,tanda eta seleb endorser ikn
@ARSIPAJA IKN itu sendiri (dengan pembentukan dan pembangunan yg berjalan sekarang) adalah kejahatan.,Negatif,ikn bentuk bangun jalan jahat
@kurawa Rakyat kecil susah cari keadilan dan di jdkn tumbal aparat hukum kasus. Pelaku anak dr politisi PKB Penganiayaan&amp,Negatif,rakyat susah cari adil jdkn tumbal aparat hukum laku anak politis pkb aniaya
gimana tuh sejarahnya spill dong kenapa ada nama Nusantara ? Konteksnya gimana? Korelasinya sama IKN sekarang apa?,Positif,gimana sejarah spill nama nusantara konteks gimana korelasi ikn
@G4b0nG0ku Wah jalan di ikn hanya bisa dibuat sepeda motor gak ada aktivitas kerja orang kantoran baik swasta atau PNS kenapa ikn sepi investor????,Negatif,jalan ikn sepeda motor aktivitas kerja orang kantor swasta pns ikn sepi investor
Naahhh!!! Daripada cuma bikin klub bola atau basket lan mending di IKN yah yg l h berguna bagi nusa dan bangsa,Positif,naahhh bikin klub bola basket lan mending ikn yah nusa bangsa
@Aryprasetyo85 @03__nakula @2045Tv @__AnakKolong @_memoryusang @NgkongRoses @serakyut @seruanhl @Muhayya__ @Eil_Thia Q setuju biar bisa bangun IKN.....,Positif,tuju biar bangun ikn
@PartaiSocmed @jokowi ini hanya utk keperluan pemotretan biar menggambarkan bahwa IKN sudah siap walaupun fakta lapangan belum seperti itu.,Negatif,potret biar gambar ikn fakta lapang
Enak ya Pak di IKN. Tenang ga ada demo2 dan suara2 rakyat yg bikin ganggu fokus kerja. Krn rakyat dan mahasiswa klo mau IKN ongkosnya mahal,Negatif,enak ikn tenang demo suara rakyat bikin ganggu fokus kerja rakyat mahasiswa ikn ongkos mahal
@Rocky_Antonie @adri_7i @BBerizik @dika_maxelyou @florieliciouss @mas_veel @MikamiRambo @YoYoAyo17845 @IrwanResma48922 @BANGSAygSUJUD Mungkin si cerewet tu mikirnya IKN kayak tokoh Bandung Bondowoso yang membangun 1.000 candi dalam semalam langsung cling,Negatif,cerewet mikirnya ikn tokoh bandung bondowoso bangun candi malam langsung cling
@zy_zy_lestary Hari ini presiden berkantor di ikn bawa influencer bukan investor atau asn yang berkantor dan beraktivitas disana semoga ada titik terang yang baik,Negatif,presiden kantor ikn bawa influencer investor asn kantor aktivitas moga titik terang
@Rocky_Antonie @adri_7i @BBerizik @dika_maxelyou @florieliciouss @mas_veel @MikamiRambo @YoYoAyo17845 @IrwanResma48922 @BANGSAygSUJUD IKN itu baru dibangun atau sedang dibangun. Jika ada yg katakan IKN banyak kekurangan lha namanya aja baru dibangun. Sket,Positif,ikn bangun bangun ikn lha nama bangun sket
@CNNIndonesia PNS instansi mana ? IKN jauh kemana mana..sapa yg betah,Negatif,pns instansi ikn sapa betah
@LSuhariyono @mas_veel Rakyat China bangga padamu bisa di beri pinjaman 190 tahun wilayah pribumi yg di usir dari IKN akan mendoakan kalian segerombolan cebong zalim penjual aset bangsa ..,Negatif,rakyat china bangga pinjam wilayah pribumi usir ikn doa gerombol cebong zalim jual aset bangsa
@KebabbsBiryanii @worksfess Plecidenmu lagi nyantai ajojing di IKN...,Negatif,plecidenmu nyantai ajojing ikn
Giat pagi ini Purabaya banyak unit wisata. @Julpikrar infone budal IKN ? https://t.co/gz2isK4oEi,Positif,giat pagi purabaya unit wisata infone budal ikn
@berlianidris Jokowi Nungguin Investasi Dajjal masuk ke IKN gede banget,Negatif,jokowi nungguin investasi dajjal masuk ikn gede
Hanya mengingatkan dulu juga bangunan ini awal dibangun di banggakan seantero jagad raya.. Hanya mengingatkan lho.. semoga di #IKN berbeda dan tidak sama. https://t.co/hjORPHogKt,Positif,bangun bangun bangga antero jagad raya lho moga ikn beda
Penampakan Ruang Kerja Dan Kamar Tidur Presiden Di Istana IKN https://t.co/IWnof3sx5c,Positif,ruang kerja kamar tidur presiden istana ikn
@PartaiSocmed @jokowi Buang buang duit pembangunan IKN unfaedah sementara banyak sekolah sekolah yang hampir rubuh malah kayak kandang hewan,Negatif,buang buang duit bangun ikn unfaedah sekolah sekolah rubuh kandang hewan
Top 3: Kecanggihan Taksi Terbang IKN Bikin Penasaran https://t.co/kRgaixSQs1 #Bisnis,Positif,top canggih taksi terbang ikn bikin penasaran bisnis
@Kevin_Imut123 Lebih sampah mana sama yang doyanya ngehina orang lain sampah? Tapi makasih loh udah ikut promosiin ikn,Positif,sampah doyanya ngehina orang sampah makasih promosiin ikn
@mas_veel Jadi lu pendukung Israel? Pak Ganjar konsisten menolak Israel karena itu sikap resmi negara. Dulu dicela ramai2....eh sekarang yg sedikit bau Israel dikecam habis-habisan. Kalau masalah IKN siapapun yg jadi presiden ya harus mau karena sdh ditet,Positif,dukung israel ganjar konsisten tolak israel sikap resmi negara cela ramai bau israel kecam habis habis ikn presiden ditet
Whosh aja KCIC Made in China di framing Influenser gagal karena kurang penumpang bangkrut Esemka sekarang malah IKN kok ada yg percaya ya ?,Negatif,whosh kcic made china framing influenser gagal tumpang bangkrut esemka ikn percaya
@tempodotco Kan kata Ridwan Kamil 2 bln lagi IKN akan macet seperti JKT. Membual atau nyindir. ??,Negatif,ridwan kamil bln ikn macet jkt bual nyindir
@okkymadasari Warta yg diajak kesana kan yg terpilih Bu??? Sow peliputannya sesuai dengan kesepakatan yg boleh masuk dan ambil gambar harus ada ijin otoritas IKN jdi mana mungkin sembarangan liput... Gelar tiker aja kita tonton sambil,Negatif,warta ajak kesana pilih sow liput sesuai sepakat masuk ambil gambar ijin otoritas ikn jdi sembarang liput gelar tiker tonton
@xMustofaNahrax @jokowi Saya sangat setuju Indonesia ini terpecah menjadi 2 Indonesia Barat ibukota di DKI rakyatnya pendukung Anies dan Indonesia Timur ibukotanya di IKN rakyatnya pendukung Prabowo.,Negatif,tuju indonesia pecah indonesia barat ibukota dki rakyat dukung anies indonesia timur ibukotanya ikn rakyat dukung prabowo
@zy_zy_lestary Silakan para penyembah @jokowi pindah ke IKN semuanya... Mudah-mudahan kalian betah di sana,Negatif,sila sembah pindah ikn mudah moga betah
@heroineaddick_ @fredeks90 @rosidagusrosid @nalar_logis @sociotalker Sekalipun pihak asing uda ada yg nolak tp emg blm dibuka. Jatah PMA itu di klaster kedua yg paling cepat di OKTOBER. Jd ya wajar PMA msh kosong yg ga wajar kaum abah teriak² IKN kosong,Positif,asing uda nolak buka jatah pma klaster cepat oktober wajar pma kosong wajar kaum abah teriak ikn kosong
Heboh! Presiden Jokowi Reshuffle Kabinet di IKN Istana: Tidak Benar! https://t.co/lbvGTvTxVf,Positif,heboh presiden jokowi reshuffle kabinet ikn istana
Era Jokowi yg dibangun itu sarana ekslusif Jalan Tol KA Cepat PLBN yg super megah bandara2 kecil di daerah KA Cepat IKN... Bersinggungan dgn kepentingan publik kecil akibatnya daya beli dan tingkat konsumsi melemah..,Negatif,era jokowi bangun sarana ekslusif jalan tol cepat plbn super megah bandara daerah cepat ikn singgung publik akibat daya beli tingkat konsumsi lemah
@dinulfadli_ pengen ke IKN terus makan nya kepiting di Dandito Balikpapan.. nginep nya di Pentacity Hotel..,Positif,ken ikn makan nya kepiting dandito balikpapan nginep nya pentacity hotel
@5teV3n_Pe9eL Bener apa lagi di IKN orang udah gak heran sama hewan,Negatif,bener ikn orang heran hewan
Padahal kisah IKN ini sdh berakhir 20 Oktober bukan?,Negatif,kisah ikn oktober
@mas_veel Nggak ada duit boss anggaran resmi untuk ikn 17trilyun doang baru terbangun 15% buktikan saja katanya ada 300 investor dari dulu juga bilang pada antri investornya BIG BULLSHIT BGT!!!!,Negatif,duit boss anggar resmi ikn trilyun bangun bukti investor bilang antri investor big bullshit
@psi_id Pembangunan merata bangun kota2 daerah yg sudah ada ️️️ Pembangunan merata bangun ikn ️️️ https://t.co/t7IC1G5XSu,Negatif,bangun bangun kota daerah bangun bangun ikn
@DokterTifa Harusnya DPR tanyain dong tuh ngapain si mukidi ngajak infuencer ke IKN..? Adakah manfaatnya..? Kalau cuma buat seneng2 dan makan2 doang buat apa..? Serasa ini negara konoha mmg punya dia tok..!,Negatif,dpr tanyain ngapain mukidi ngajak infuencer ikn manfaat neng makan serasa negara konoha tok
@zy_zy_lestary Prabowo mana mau ke IKN!! Jd istana demit dah!!,Negatif,prabowo ikn istana demit
Influncer dibayar difasilitasi so hanya akan menyampaikan hal2 yg positif saja ttg IKN. https://t.co/aDbS0ybCwF,Negatif,influncer bayar fasilitas positif ikn
Capexnya Microsoft setahun $64bn. Bisa bikin dua IKN.,Negatif,capexnya microsoft bikin ikn
@Mdy_Asmara1701 IKN aja yang dipikirkan sama beliau. Indonesia cuman IKN doang isinya,Negatif,ikn pikir beliau indonesia ikn isi
@NenkMonica Duh piknik say..... mereka smua influencer n artis... biar d kontenin perkembangan ikn gini loh... u org kalimantan bisa nikmati sj klo sdh selesai ... mereka nggak ush d repotkn lg tinggal nikmati ajaaa... pahammmmm,Negatif,duh piknik say smua influencer artis biar kontenin kembang ikn gin orang kalimantan nikmat selesai ush repotkn tinggal nikmat pahammmmm
@inboundandhot Duit rakyat sudah ditelan banyak oleh IKN ini. Ya udah biarin aja sederhana. Meski aku yakin lama kelamaan juga mewah sendiri tanpa diminta. Kan ini mah baru beres. Inget ya IKN ini harus jalan. Gak boleh gagal. Gak boleh sepi. Duit rakyat,Negatif,duit rakyat tel ikn biarin sederhana mewah mah beres inget ikn jalan gagal sepi duit rakyat
Menhub Ungkap Bandara IKN Bisa Didarati Pesawat Raksasa di Desember https://t.co/tRKqijBN6i,Negatif,menhub bandara ikn darat pesawat raksasa desember
Menghasilkan keputusan dan terobosan apa selama ngantor di IKN...?,Negatif,hasil putus terobos ngantor ikn
caranya Herkules kasih Kantor di Ikn masbro,Negatif,herkules kasih kantor ikn masbro
@TirtoID Kalau kata si @grace_nat dengan memboyong para BuzzeRp-InfluenceRp ke #IKN adalah bentuk transparansi publik mungkin maksudnya untuk menepis anggapan kalau ada borok dibalik pembangunan #IKN. #IKNKotaInfluenceRp #IKNKotaBuzzeRp #IKNKotaRelawan #I,Negatif,boyong buzzerp influencerp ikn bentuk transparansi publik maksud menep anggap borok bangun ikn iknkotainfluencerp iknkotabuzzerp iknkotarelawan
@CNNIndonesia orang yang mau pindah ikn aja dipertanyakan kesehatannya,Negatif,orang pindah ikn sehat
@TirtoID Disatu sisi ada yg seneng bahagia dapat istana megah mewah di ikn disisi lain rakyat semakin ditekan pajak listrik bbm tenaga kerja asing biy pendidikan dll dll,Negatif,sisi neng bahagia istana megah mewah ikn sisi rakyat tekan pajak listrik bbm tenaga kerja asing biy didik
@RekjanS @JhonSitorus_18 Intinya sih rakyat Indonesia mayoritas tidak menginginkan adanya IKN dan bagi rakyat kecil itu tidak penting,Negatif,inti rakyat indonesia mayoritas ikn rakyat
@5teV3n_Pe9eL Presiden malah ngajak geng motor Jaya jaya jaya ke IKN cuma utk motoran di tol baru yg belum jd sepenuhnya terlihat keras pengen menunjukkan IKN uda siap padahal sangat blm siap. Itulah knp ga ada influencer lokal diajak krn mereka tau kondi,Negatif,presiden ngajak geng motor jaya jaya jaya ikn motor tol sepenuh lihat keras ken ikn uda influencer lokal ajak kondi
@NinzExe07 @prabowo Miris para artis yg ke IKN enak makan uang rakyat,Negatif,miris artis ikn enak makan uang rakyat
Ketua APPBI: Mal di Jakarta berpotensi terus tumbuh setelah ada IKN https://t.co/jQ2ept3Jo0,Negatif,ketua appbi mal jakarta potensi tumbuh ikn
@DokterTifa @suryobumi Bawa Puluhan Influencer.. Alih2 Promosi Bagus Buat IKN ...eeh AC-nya Ngadat.... Imej Jelek Rugiii Doong....!!! https://t.co/oNMgxWydJj,Negatif,bawa puluh influencer alih promosi bagus ikn eeh nya ngadat imej jelek rugiii doong
@Dennysiregar7 Nah s7 aplgi yg 58% ikut pindah ke IKN,Positif,aplgi pindah ikn
13. Sempet2nya aki @satriohendri ke om host FS @bluefadly @mnctrijaya bilang bawa kedaikopi-lah blabla! Dlm hati gue ' Bilang aja Anda mupeng ke IKN sama RI1 @jokowi @setkabgoid ! Banyak cengkunek Anda semua!!! | pemred @gaibfiles @bluefadly @enweka @oomdods @LatiefSiregar,Negatif,sempet nya aki host bilang bawa kedaikopi blabla hati bilang mupeng ikn cengkunek pemred
@WagimanDeep212_ Suruh tu para influencer yg ke ikn jgn boros makan rakyat disana,Negatif,suruh influencer ikn boros makan rakyat
@democrazymedia Yg memaksakan pembangunan IKN slama ini adl joko widodo bukan basuki betul ga @jokowi ?,Negatif,paksa bangun ikn slama adil joko widodo basuki
@zy_zy_lestary Silahkan rakyat 58% pindah ke IKN...senang melihatnya,Negatif,silah rakyat pindah ikn senang lihat
@msaid_didu Rakyat sakit dan harusnya opname di rumah sakit saja lewat 3 hari dipulangkan &amp,Negatif,rakyat sakit opname rumah sakit pulang
@DokterTifa Ngkin dia pikir badut2 influencer itu bisa bawa investor ya? Sekarang Wi coba tawarin itu influencer mo nggak bangun rumah di IKN?,Negatif,ngkin pikir badut influencer bawa investor coba tawarin influencer bangun rumah ikn
@RajaJuliAntoni IKN itu I nya influencer kah?,Negatif,ikn nya influencer
Ormas agama Persatuan Islam (Persis) menjadi pendatang baru yang mau kelola tambang. Masuk populer bersama insentif PNS di IKN. #bisnisupdate #update #bisnis #text https://t.co/fVP8CaXjRg,Negatif,ormas agama islam persis kelola tambang masuk populer insentif pns ikn bisnisupdate update bisnis text
